stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0
72hpf,3.95,1.69,1.13,0.56,4.23,0,0,0,0,0,0,0,0,0.28,12.4,0.56,14.66,0,0,1.13,592.73,21.14,1.97,11.27,14.66,0,0,11.27,0.56,0.56,0.85,0
21Day,5.18,0.37,6.66,0.37,5.18,1.48,0.37,0.74,0.37,0.74,0,1.85,1.11,0,9.25,1.85,37,0.37,0,2.22,186.47,13.32,1.48,5.55,14.06,6.29,0.37,5.92,1.11,1.48,0.74,1.85
3Month,0,0.1,0.1,0,0,0,0.1,0,0,0.52,0,0,0.21,0,0.21,0.21,0.62,0.62,0,0,0.21,0,0,0,0.31,0.1,0.31,0,0,0,0,0.1
22Month,0.14,0,0.41,0,0,0,0,0.14,0,2.19,0.82,0.27,0,0,0,0.27,0.41,0.41,0.14,0.14,0.41,0,0,0,0,0,0,0,0,0,0.14,0.14
