stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,1,2,0,0,0,0
72hpf,0,0,0,0,0,0,6.76,0.56,0.56,0,0,0
21Day,0,0,0,0,0.37,0.37,2.59,0,0,0,0,0
3Month,0.1,0.1,0.52,0.21,0,0,0,0,0.1,0.21,0.52,0.1
22Month,0,0,0.41,0,0,0.14,0.14,0,0,0,0.41,0
