stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,12,2,1,0,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,2,0,0,0,0,0,0
72hpf,0.28,2.25,1.13,58.06,0,0.28,0,0,0,0,0,0,0,0.28,0,0.56,0.56,0,0,3.1,1.69,0,0,0.28,0.28,0.28,0
21Day,0,0,1.11,14.8,0,2.59,0,0,0,0,0.37,0.37,0,0,0.37,0,0,0,0,0.37,0,0.37,0,0,0,0,0.74
3Month,0,0.1,0.21,0,0.1,0.42,0.1,0.1,0,0.21,1.66,0,0.1,0,0,0,0.21,0.1,0,0,0,0,0.1,0,0,0,0.21
22Month,0,2.05,0.27,0,0.14,0.96,0,1.37,0.14,1.23,15.58,1.78,0,0,0,4.51,0.68,0,0.14,0.14,0,0.14,0,0,0,0,2.19
