stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,5,1,16,1,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0.28,0.85,5.07,3.38,0.56,0,0.28,0
21Day,0.37,0.74,0.37,1.85,1.11,0,0,0.37,0.37,0.37,2.59,2.59,3.33,1.11,0.37,0.37,0.37
22Month,0,0,0,0,0,1.09,0.41,0,0,0,0,0,0,0,0,0,0
