stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0.85,0,0,0,0.28,30.72,4.23,0,0.28,0.28,0,0,0,0.28,0.56,0,0.56,0,0,0
21Day,0.37,0,1.85,0.37,0.37,0,0,0,0,1.11,0.37,0,0,0,0.37,0,0,0,0,21.83,2.22,0.37,0.74,0.37,0.74,0,0,0.74,1.11,1.85,0,0,0,0
3Month,0,0.21,1.25,0,0,0.1,0.42,0.62,2.91,0,0.1,0.21,0.62,0.21,0.73,0.1,0.1,0.21,0.1,0.94,0,0.1,0.42,0,0.1,0.1,2.5,0.42,0,0,0,0.31,18.72,0.83
22Month,0,0.55,0.41,0,0,0,0.41,2.73,0.14,0,0,0,0,0.14,1.5,0,0,0.14,0,0.55,0,0.14,0.55,0,0,0,2.32,0,0.14,0,0,0.14,0.14,0.68
