stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0.28,0,0.28,0.28,0.28,0.28,0.28,0,0,3.95,2.25,0.28,0.28,0,0.28,0,0,0
21Day,0.37,0,0,1.48,0.74,0.74,0,0,0,0.37,0,0,0.37,0,0,0.37,1.48,0,0,0,0.37,0.37,0,0,0,0,0,0,0
3Month,0,0,0,1.46,0,0,0.31,0.1,0,3.33,0.1,0.1,1.14,0.1,0.83,0.31,0.31,0,0.1,0.1,0.21,0,0,0,1.66,0.21,0.42,16.54,1.04
22Month,0,0.14,0.14,0.27,0,0.27,0,0.55,0,4.92,0.41,0,0.55,0.14,0.14,0.41,0.68,0.14,0.14,0,0,0,0,0,0,0,0.14,0,0
