stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,0.56,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0.1,0,0,0.1,0,0,0,0.31,0,0,0.1,0,0.21,0.1,2.08
22Month,0,0.14,0,0.68,0.55,0.14,0,0.68,0.55,0,0,0.14,0,0,6.83
