stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0
72hpf,0.28,0.28,0,0,0.28,0,0,0.28,0,0,0.56,0,7.33,2.54,0,0.28,0,0,0
21Day,0.37,0,0.37,0.37,0.37,0,0,0.37,0.37,0,0.37,0,4.81,0.74,0,0,0.37,0,0
3Month,0,0,0.21,0,0,0.21,0.21,0,0,0.1,0,0,0,0,0.1,0,0,0,0.1
22Month,0,0,0.27,0,0,0.82,0.27,0,0,0.14,0.14,0.14,0,0,0,0,0,0.14,0
