stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
21Day,0.74,0,1.11,0,0,0,0.74,0,0.37,31.82,0.37,0.37,0,0.37,0,0,0.37,0
3Month,0,0.1,0.31,0.1,0.1,0.62,0,0.21,0,11.65,0,0,0.1,0.21,0.1,0,0,0
22Month,0,0.14,0,0.14,0.27,0.27,0,0,0.14,1.09,0.14,0,0,0,0,0.14,0,0.14
