stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0.28,3.38,0,0,0,0.56,0.28,0.28,0,0,0.28,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,4.44,0,0,0.37,0.37,0,0,0,0,0,0,0.37
3Month,0,0.1,4.37,0,0.62,0,2.08,0.1,0.42,9.78,3.95,0.31,0.31,0.1,0.31,0,0,0.1,1.14,0,1.04,0.1
22Month,0.27,0,0.55,0,0,0.27,3.69,0.14,0.41,0.96,1.78,0,0.41,0.14,0,0,0,0,0,0,0,0
