stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.11,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0
3Month,0.73,0.21,4.89,0,0.52,0.1,0.21,1.35,2.29,0,9.47,2.29,0.1,4.37,0.73,1.77,2.08,2.29,0.52,0.1,0.62,0.83,0.62,0.1,0.62,0.1,0.83,1.77,0.21,0.1,0.1,0.62,1.25,1.87
22Month,1.37,1.78,5.6,0,0.14,0.14,0,0.41,6.56,1.91,35.26,1.64,0.82,7.79,0.27,0.96,2.6,5.74,0,3.01,0.41,0,0.55,0,0.41,0.96,0.55,0.27,0.96,0.41,0.14,0.27,0,3.14
