stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,1,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0.28,0.28,0,6.2,1.41,0.28,0,0.28,0.28,0,0,0
21Day,0,0,1.11,0.74,0,0,0,0,0.37,0,0.37,0.37,0,0.37,0,0.74,0,0,4.07,0,0.74,0,0.37,1.85,0,0,0.37
3Month,0.1,0.1,1.46,0,0.1,0.52,0.1,0,2.08,0,0,0.83,0.42,0.42,0.31,0.31,0,0.42,0.31,0,0,0.83,0,0,0.1,2.39,0.42
22Month,0,0.14,0.55,0,0,0,0.27,0.27,1.78,0.14,0,0.96,0,0,0.14,0,0,0,0,0,0,0.27,0.41,0,0,0,0.14
