stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0.37,0,1.48,0,0,0,0,0,0,0,0.37,0.74,0,0.74,2.22,0.74,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0.31,0.31,3.74,0.21,0,1.87,1.35,0,6.55,0.52,0.21,10.51,0.1,1.77,6.24,1.35,0.21,0,0.1,0.21,0.1,0.42,0.1,0,0,0.21,0.42,0.1,0.1,0.1,0.1,0.52
22Month,0.41,0.68,1.78,0,0.27,0.68,0.55,0.27,10.39,0.14,0.41,11.07,0.14,0.41,2.73,1.91,0.27,0.27,0.41,0,0,0,0,0.14,0,0.14,0.14,0.14,0,0.55,0,0.27
