stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0.28,0,0,0,0,0.56,0,0,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,2.91,0.1,0.1,0.1,0.21,0.21,0.1,0.1,1.56,0.1,0.42,0.1,0.21,0.21
22Month,0.14,2.32,0.14,0.27,0,0.14,0,0,0,0,0,0,0,0,0
