stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0.74,0,0,0,0.37,0,0,0,0,0
3Month,0.31,0.83,13.42,0.42,0.42,0.21,72.08,0.52,0,7.8,0.31,2.39,0.21,1.14,0.1,0.42,0.42,0.1,0.1,0.21,0,1.66,1.04,0.21,0.31,8.11,0.42
22Month,0.14,0.27,1.78,0.14,0.14,0,88.28,0,0.27,4.1,0,0.55,0.14,0.41,1.09,0.27,0,0,0,0.27,0.14,0.14,0.68,0,0,0,0
