stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,1.11,0.37,0,0,0.37,0,0,0.37,0,0,0.37,0.37,0,0.37,0,0
3Month,0.1,0.21,0.31,0,0,0.83,0,0.52,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1
22Month,0,0,0,0,0.14,0.96,0,0.14,0,0,0,0,0,0,0,0,0,0
