stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Osteoblast,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0.56,0,0
21Day,0,0,0,0,0.37,1.11,0,0.37,0,0,0
3Month,1.04,0.1,1.46,0.62,0.62,0.21,0.1,0,0,0.1,0.1
22Month,0,0,0,0.27,0,0.14,0,0,0,0,0
