stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0.85,0
21Day,0,0.37,0,0.37,0,0,0,0,0,0,0.37,0.37,0,0
3Month,0.21,0,0.1,0.42,0.1,0.21,0,0.1,0.1,0,0,0,0,0
22Month,0.14,0,0.14,1.09,0,0.68,0,0,0,0,0,0,0,0.27
