stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Retinal_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.28,0,0,0,0
22Month,0.14,0.27,0.41,1.23,0.14,0.41,3.83,0.55,0,6.29,0.55,0.14,0.68,0.41,0.96,1.09,0.96,0.41,0.27,0.27,0.27,46.87,0.27,0.41
