stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,1,4,0,0,0,0,0,0,0,0,21,0,0,3,43,5,0,0,1,0
72hpf,1.13,1.13,1.97,0.56,0.85,0,0,0,0,6.48,0,32.41,0,0,1.69,4.51,21.98,0,0.28,0.56,0
21Day,1.11,0.74,3.7,0.74,1.48,0,0,0,0.37,0.74,0.37,27.01,0,2.22,2.22,2.22,22.57,1.48,0.37,0.37,0.37
3Month,0,0,0.52,0,0,0,0,0.21,0.1,0,0,0.83,0,0,0,0,0,0,0,0,0
22Month,0,0,0.14,0,0,0.14,0.41,0.82,0,0,0,0.82,0.27,0,0,0,0,0,0,0,0
