stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,2.59,1.48,0.74,0,0,1.11,0,0.37,0.37,16.28,0,1.11,0,0.37,0,0,0.37,0,1.48,0.37,0,0.37,0.37,0,0,0.37,0.37,0,0,0,0
3Month,0.42,5.3,15.81,0,0.52,0.21,45.46,1.66,12.07,1.35,200.02,0.52,1.14,1.35,2.5,0.1,0.42,46.39,0.31,0.31,1.35,0.31,0,1.04,0.1,1.35,0.21,0,0.1,0.62,0.94,1.56
22Month,0,3.01,2.6,0,0,0,8.06,0.27,3.14,0,82.4,0,0,0.41,0.27,0,0,8.06,0,0.27,0.68,0.27,0,0.14,0,0.27,0.27,0,0,0,0,0.27
