stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0.37,0,1.85,0,2.22,0,0,0,0,0.37,0,0,0,0.37,0.37,0,0,0,0
3Month,0,0.83,13.42,0.1,7.8,4.47,2.29,0.73,0.21,4.06,6.66,0.21,12.48,0.83,0.1,0,0.1,7.49,0.1,0.1,0.1,0.83,0,0,0.31,0.83,0.83
22Month,0,0.82,3.28,0,4.24,1.09,9.57,0,0,3.28,1.23,0.14,1.5,0.27,0,0.27,0,0.14,0.14,0,0.14,0.41,0,0.14,0,0,0.14
