stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,4.44,0,0,0.37,0,0,0,0,0,8.14,0.37,0,0.37,0,0.37,0,0,0,0,0.74,0,0,0,0,0,0,0,0
3Month,0.42,0.31,1.56,0.1,0.21,47.74,0,0,1.66,51.7,0,0.73,0.21,0.52,8.11,0.62,0,0.1,0.21,0,0,0.1,0,0.1,0.31,0.21,0.73,0,0,0,0.42,0.52,0.73
22Month,0.27,0,0.55,0,0.27,60.95,0.14,0,2.6,14.48,0.27,0.68,0,0.27,13.94,0.55,0.14,0.27,0,0.14,0,0.14,0.14,0,0,0,0,0.14,0.14,0.14,0,0,0.27
