stage,Epithelial_cell,Granulocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
72hpf,0,0,0,0,0,0.85,0.28,0
21Day,0.37,0,0,0.37,0.37,0.74,0,0.37
22Month,0,0.14,0.27,0,0.14,0,0,0
