stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,1.41,0,0,0,0,0,0,0,0,0.56,0.56,0,0,0,0,0.28,4.79,5.36,0,0.28,0,1.69,0.28,0,3.95,0,0.28,0,0,0
21Day,1.11,0,1.48,1.48,0,0,0,0,0,0,0,0,0,0,0,2.59,0,0.74,0,1.48,1.11,0,0,0,1.48,0.74,0,0.37,0,0,0,0,0
3Month,1.14,0.1,14.56,0.94,0,0.83,0.73,0,3.74,0.83,0,0.83,5.1,1.35,1.35,3.64,1.35,0.52,0.62,1.87,0,0.42,0,0,0.31,0.21,16.85,0.52,0,0.31,0.52,110.36,0.94
22Month,1.5,0,4.51,0.14,0.14,0.14,0.41,0.41,5.19,0.14,0.41,0.96,0.14,0.14,0.96,2.46,0,0.14,0,0.27,0,0.27,0,0.14,0,0.27,8.2,1.09,0.14,0,0.14,0.14,0.27
