stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,2.54,1.13,0.28,0,0,0,0,0,0,0,20.57,0,2.82,0,0,0,1.97,0.56,0.28,0,3.38,0,0,0.56,0.85,0,0,0
21Day,0.37,0,0,2.59,0.37,0,0.37,0,0,0,0,0,0,2.22,0,8.14,0,0,0,1.11,1.48,0,0,0.37,0.37,0,0,0.37,0,0,0
3Month,0.1,0.1,0,2.6,0,0,0,0.21,0.21,0,2.81,0.21,0.21,8.84,0.21,2.08,0,0,0.21,0.1,0,0.1,0.21,0,0,2.08,0,0.1,0.31,1.66,0.21
22Month,0,0.14,0.14,1.5,0,0,0,0,1.37,0.14,10.66,0.14,1.37,0.96,0.27,0.55,0.55,0.14,0,0,0,0,0.14,0,0,0.41,0,0,0,0,0
