stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0.85,0.28,3.1,0,0,0,0,0,0,0,0,1.41,0,2.54,0,0,0,7.89,1.97,0,0,0,1.69,0,0,0,0.28,0,0.28,0,0
21Day,0.74,0.37,0,1.11,0.37,1.85,0.37,0,0,0,0,0,0.37,0,4.07,0,4.44,0,0,0,5.92,0,0,0,0,1.11,0.37,0,0.37,0.74,0.37,0,0,0.37
3Month,0,0.1,0.21,1.35,0.21,0,0.42,0.1,0,0,1.98,0.42,0,0.42,0.62,0.42,1.04,0.21,0,0.42,2.91,0,0.1,0,0,0.1,0.21,4.16,0,0,0,0,2.6,0
22Month,0,0,0,0.14,0.14,0,0.27,0.14,0.68,1.09,6.83,0.68,0,1.09,0.68,0.41,0.55,0,0.41,0,2.05,0,0.27,0.14,0.14,0,0,0.96,0.41,0.14,0,0,0,0.27
