stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,17,13,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.51,0.85,0,3.66,0.28,2.82,0,0,0,0,0,0,0,0,0,0.56,7.61,0.56,3.66,0,0,456.03,22.55,0.56,4.23,6.2,0,0.28,3.38,1.13,1.69,0.28,0,0,0
21Day,2.96,0,0,4.07,0,4.44,0,0.37,0.37,0,0,0.74,0.37,0.74,0.37,0.74,2.96,0.37,5.18,0,0.74,140.96,7.4,0.37,3.33,2.59,1.85,0.37,0.74,0,0.74,0.37,0,0,0
3Month,0,0.21,0,0.42,0,0,0.1,0,0.1,0.31,0,1.14,0.62,0,0.21,0,0.21,0.31,0.42,0,0,3.85,0,3.95,0.42,0,0.21,10.61,0,0,0,0,0.1,0.83,0.1
22Month,0,0,0.14,0.27,0,0,0,0,0,0.55,0.14,2.05,0,1.09,0,0,0.14,0.14,0.27,0.27,0.14,1.64,0.14,2.32,0.27,0,0,9.43,0.27,0,0,0,0,0,0.14
