stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,0,0,0,0.56,0.28,0,27.34,2.54,0,0.85,0.28,0,0.28,0
21Day,0.37,0.37,0.37,0.37,0,0,0,0,0,0.37,19.61,2.22,0.37,0.37,0.37,0.74,0,0.74
22Month,0,0,0,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0
