stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
72hpf,0,0,0,0,1.13,0.28,0
21Day,0.37,0,0,0.37,0,0,0.37
3Month,0.21,0.21,0.1,0,0,0,0
22Month,0.14,0.55,0,0,0,0,0
