stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0.28,0,0,0.56,0,0,0,0,0.28,2.25,0,0.28,0,0,0,0.85,0.56,0,0,0.85,0,0,0,0.28,0,0,0,0
21Day,0.74,0,0,3.7,0,0.37,0,1.85,0,0.37,4.81,0,0.37,1.48,1.48,1.85,0,0.37,0,2.22,0.37,0,0,1.11,0,0,0.74,1.85,0.37,0,0,0.37
3Month,0,0.31,0.1,1.25,0.31,0,0.42,3.12,0.62,1.56,0.31,1.14,0.1,0.94,0.31,0.83,0,0.31,0.1,0.1,0,0.21,0.21,0,0.1,0.1,0,0,0,0.21,0.21,2.29
22Month,0,0.55,0,0.41,0,0,0,5.74,3.96,0.27,0.14,1.23,0,0.14,1.09,0.68,0.14,0.27,0,0,0,0,0.41,0,0.14,0.14,0,0,0,0.14,0,0.41
