stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,7,5,15,0,0,7,97,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.02,2.25,0,8.17,1.13,10.43,0,0,0,0,0,0,0.28,0,2.82,20.29,0.85,20.86,1.13,0.56,233.93,59.75,0.85,0,24.8,0.28,0,8.17,0,0.56,1.41,0,0
21Day,14.06,1.11,4.44,35.52,0.74,15.17,0,3.33,0.37,1.48,6.66,0,9.25,6.29,1.48,21.83,3.7,40.33,0,6.29,78.81,24.79,1.11,1.48,12.58,9.99,0.37,5.18,2.22,5.55,1.11,0,4.81
3Month,0,0.1,0,0.73,0,0,0,0.1,0,0.31,1.25,0.31,0.1,0.21,0,0.42,0,0.21,0,0.21,1.25,0.1,0.1,0,0,0,0.83,0,0,0,0,0.52,0
22Month,0,0,0,0.14,0,0,0.14,0,0,0.27,2.19,0.14,0,0.14,0,0.14,0,0.55,0,0,0.27,0.14,0.14,0,0,0,1.91,0.27,0,0,0,0,0.14
