stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0.28,0,1.13,0,0,0,0,0,0,0,0,2.25,0,0.56,0,0.28,3.1,0.28,0,0,0.28,0,0,0,0
21Day,0,0,9.25,0,0,0.37,0,0,0.37,0,0,0.37,1.11,0.74,0,0,2.96,0.74,0,0,0,0,0,0,0
3Month,0,0.1,3.12,0.1,0.62,0.1,0,0,0.94,0,0.62,0,0.31,0.1,0.21,0,0.1,0,0.73,0.1,0.1,0.1,2.39,0,0.31
22Month,0,0.41,1.5,0,0.68,0.68,0.82,0,1.78,0.27,0.14,0.14,0.14,0.14,0.27,0,0.14,0,0.27,0,0,0,0,0.14,0.14
