stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.13,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0,1.13,0,0,0.28,4.23,2.54,0,0,0,0.28,0.28,0,0,0,0.28,0,0,0
21Day,0,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0.37,1.48,0,0,0,1.48,1.48,0,0,0,0.37,0,0,0,0,0.37,0,0,0
3Month,0.1,1.56,0.1,6.03,0,0.1,0.21,0.1,1.87,0.94,0,5.2,0.83,0.1,1.25,0.31,2.18,0.73,2.81,0.21,0,0.62,0.52,0,0.42,0.1,0,0,0.1,0.62,0.1,0,0,0.62,0.73,0.62
22Month,0.14,3.01,0,2.19,0,0.14,0,0,0.14,1.37,0.14,12.71,0.27,0.41,1.64,0,0.27,1.23,1.78,0,0.14,0.14,0,0,0.14,0.14,0.14,0,0.14,0,0,0.14,0,0,0,0
