stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0.42,0.83,0.1,1.35,0,1.56,0.31,18.83,0.1,0.31,0.31,0,0,0.1,1.04,0.1,0.1,0.1,0.52,0.1,0.21
22Month,0,0.55,0.14,0,0.96,0.14,2.19,0.14,17.63,0,0,0,0.14,0.14,0.14,0.14,0,0,0,0,0,0
