stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0.37
3Month,0,0.1,0.31,0.21,0.21,0.31,0.1,0.42,0.1,0,0.1,0.1,0.1,0.1,0.42
22Month,0.14,0,0,0,0.14,0.14,0,0.27,0,0,0.27,0,0,0,0.14
