stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,18,39,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0
72hpf,0,0,0,7.05,0,0,0,0,0,0.85,0,0,0,0,0,0.56,34.67,0.56,0.56,0,0,0,0,1.41,1.13,0.28,0,0,0.28,0,0,0,0
21Day,0,0.37,0,19.98,0.37,0.74,0,1.11,0,4.44,0,0.37,0.37,0,0,0.37,7.4,0.74,0.74,0,0,0.37,0,0,0.74,0,0,0,0.37,0.37,0,0,0.37
3Month,0.1,4.16,0,9.67,0,0,0,0,0.21,16.33,0,3.74,0.62,0.1,0.73,0.21,6.45,6.97,0.52,0.1,0,0.21,0.1,0,0,0,0.31,0.73,0,0,0.1,0.31,0.31
22Month,0,1.37,0.14,1.91,0,0,0.14,0,0.27,22.68,0.68,14.07,1.09,0.14,1.23,0.14,1.64,18.72,0.82,0.14,0.27,0,0,0.14,0.14,0.14,0,1.09,0.14,0,0,0,0.41
