stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,16,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.56,0,5.07,0.28,0,0,0,0,0,0,0,0,0,0,2.25,14.37,7.33,0.56,0,0.56,0,0,17.47,3.1,0.28,0.56,0,1.41,0,0.28,4.79,1.41,0.28,1.13,0,0,0
21Day,2.96,0.37,0.37,30.71,0,1.85,0,0,0.37,0.37,0,0,1.11,0,0.37,0,15.91,9.25,2.96,0,0.37,1.11,0.37,11.1,1.11,0.74,2.96,0,1.48,3.33,0,4.44,4.07,1.11,1.11,0,0,0
3Month,0.1,0.62,0.94,27.77,0,0,0.52,0.1,2.7,0.83,0,0,133.87,1.25,7.28,1.56,6.35,8.84,3.33,0.52,0.52,1.04,0.94,0.73,0.21,1.77,2.18,0,0,2.81,1.66,0.52,0.1,0,0.1,0.21,0.62,0.52
22Month,0,0.41,0.96,9.43,0,0,0.41,0,1.37,0.96,0.96,0,90.33,0.96,6.7,0.41,2.6,8.88,2.19,0.14,4.1,0.68,0,0.55,0,1.23,2.6,0.14,0,0.14,0.55,0.96,2.05,0,0,0,0,0.14
