stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,16,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,1.41,0,0.56,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,1.85,0.74,0,0,0,0,0,0,0,0,0
3Month,0,0.42,0.1,0.83,0,0,0.1,0,0.1,0.52,0,2.18,1.77,0.1,0.42,0.1,0.94,0.31,0.62,0,0.21,0.73,0,0,0.1,0,0,1.14,0.21,0,0.1,0.21,0.62
22Month,0.14,0.41,0.14,2.19,0,0,0.55,0.14,0.27,3.96,1.64,22.41,2.05,1.09,1.37,0,0.27,4.1,2.19,4.37,0.41,0,0.14,0.14,0.55,0,0.14,0,0.82,0.14,0.27,0,1.23
