stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,69,6,538,0,1,0,0,0,2,0,0,0,0,3,1,7,114,0,0,0,0,7,198,0,135,0,0,0,1,0,0
72hpf,2.54,3.66,128.52,18.6,2.25,0,0,0,0,0,0,0,0,0.56,5.64,0.28,42.28,0,0,5.92,0,11.56,5.07,1.13,9.02,0,0,1.97,0,0,0
21Day,0.37,0.37,13.69,2.59,1.48,0,0,0,0,0,0,0.37,0,0.37,0.37,0,35.52,0,0.74,10.73,0,1.85,1.48,0,2.96,1.11,0.37,0.74,0,0,0.37
3Month,0.21,0.62,1.04,0,0,0,0.52,0.31,0,1.04,0.42,0.1,1.66,0.1,0.42,0.31,13.63,0.52,0,0.52,0.1,0.1,0,0,3.95,0,1.25,0.1,0,0.21,0.1
22Month,0,0.55,0.41,0,0,0.27,0,1.23,0,2.6,0.14,0,0.27,0.14,0.27,0.27,12.71,0.14,0.14,1.64,0,0,0.14,0.14,0.68,0,2.19,0,0,0,0.27
