stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,16,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0.28,3.95,0,0.28,0,0,0,0,1.13,0.85,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.96,0.37,0,0,0,0,0,0,0,0,0,0.37,2.96,5.55,1.48,1.11,0,0,0.37,0,1.11,0.37,0,0.37,0,0,0,0,1.11,0,0.37,0,0,0.37
3Month,0.31,1.87,8.32,106.62,0.1,1.77,0.21,0,16.02,5.51,0,19.66,5.82,0.62,290.21,3.54,18.41,8.01,8.95,0.83,0.42,1.77,1.35,0.52,0.42,1.35,0.21,0,0.42,5.1,5.2,0.1,0.31,0,2.39,4.99,5.93
22Month,0.41,6.7,42.36,80.21,0.41,1.5,0.55,0.14,75.7,9.43,4.24,81.85,3.28,1.78,938.1,4.24,19.4,10.39,12.98,0.27,5.74,6.83,0.14,0.55,0,7.65,2.73,0.41,0.68,2.19,2.73,1.5,0,0.14,1.91,0,7.52
