stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,1.85,0,0,0,0.37,3.7,0.74,0,0,0,0.37,0,0,0,0.74,0,0,0,0
3Month,0,0.1,0.31,0.62,0,0,0.1,0,41.61,0.1,0.21,0.42,0.31,1.87,0.42,0.1,0.42,0,0,0.1,0,0,1.25,0.42,0,0.1,0
22Month,0.14,0.14,0.14,0.82,0.96,0.14,0.41,0.14,281.77,0.41,0.96,0.14,0.14,2.46,0.68,5.47,0,0,0.27,0.55,0.14,0,0.41,1.23,0.14,0,0.55
