stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0,1.13,0.56,2.25,0,0,0,0,6.2,1.97,0,28.47,0,3.38,0,0,1.41,0,0,0,0
21Day,0.74,0.37,0,1.85,0.74,0,0.37,0,0.37,0,0,0,0.37,0.37,0.74,0.74,0.74,1.11,0,0,0,0,4.07,1.85,0,71.41,0,2.22,0.37,0,1.48,0.37,0,0,0.37
3Month,0,0.94,0.21,2.29,0,0.1,0.1,0.62,0.83,0,4.37,2.18,0,1.56,0.1,0.83,1.35,1.87,0.42,0,1.25,0.21,0.83,0,0.31,80.61,0,7.39,0.42,2.91,0.21,0,0.1,1.04,0.52
22Month,0,1.09,0,2.05,0,0.27,0,0.14,0.96,0.96,5.88,0.27,0,0.55,0,0,1.09,1.23,0.14,0.55,0,0,0.55,0,0,167.81,0.27,3.96,0,0.55,0,0,0.55,0,0
