stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,1,0,1,0,0,0,0,0,0,2,2,1,10,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0.28,0.28,1.13,1.13,0,0
21Day,0,0,1.48,0,0,0,0,0.37,0,0.37,0.37,0,0,0,0
3Month,0,0,0.73,0.1,0.1,0.52,0,0.1,0.1,0.1,0.21,0,0,0.31,0.1
22Month,0,0,0,0,0,0,0.14,0,0,0,0.14,0,0,0,0
