stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,3.66,0.56,0,0,0,0,0,0.56,0,0,0,0
21Day,0,0.74,0,3.33,0,0.74,0,0,0,0,0,0,0,0,0,0,1.11,0.37,1.85,0,0,0,0,1.85,0,0,0.37,1.11,0.37,0,0,0.37,0,0,0
3Month,0.1,0.21,0.21,5.3,0.1,0,0.1,0.21,0.21,1.04,0,21.53,0.73,0.1,0.73,0.1,4.99,1.35,3.54,0.31,0.1,0.31,0.21,0.1,0,0.1,0.42,0.31,0.21,0.21,0,0,0.21,1.98,0.21
22Month,0,0.14,0.14,2.19,0,0,0,0,0.14,1.91,0.14,25.55,0.68,0.96,0.27,0,1.09,1.09,2.73,0,0.82,0.27,0,0.27,0,0.14,0.96,0.27,0,0.41,0.27,0.14,0,0,0.55
