stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,4.23,0.56,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,2.59,0,0,0,0,0,0,0,0,0
3Month,0.1,0.1,1.46,0.1,0,0.52,5.51,0.62,0.21,0.83,0.31,0.73,0.21,0.31,0.21,0.21,87.37,0.1,0.31,0.1,0.42,1.04,0.1,0.1,0.1,0.1
22Month,0,0,0,0,0.14,0.14,1.5,0,0,0.27,0,0,0,0.68,0,0,3.42,0,0,0,0,0.96,0,0,0,0
