stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,3,0,0,0,0,0,0,1,0,8,1,0,0
72hpf,0.56,0.28,0,0,0,0,0.28,0,1.41,1.97,1.41,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,1.48,1.11,0.74,0,0.37,0
22Month,0,0.41,0,0.14,0.14,0.27,0,0.14,0,0,0,0,0,0.14
