stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,T_cell
21Day,0,0,0,2.22,0,0,1.11
3Month,0.21,0.1,0.1,0,0,0.21,0.31
22Month,0,0.41,0,0,0.14,0,0.27
