stage,Epithelial_cell,Hepatocyte,Macrophage,Neural_cell,Spermatocyte
24hpf,1,0,1,0,0
72hpf,0,0,2.25,1.97,0
21Day,0.74,0,1.11,1.48,0
3Month,0,0.21,0,0,0.1
