stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0.56,0,0,0,0,0,0.28,0,0,0,0.28,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0.74,0,0,0.37,0,0,2.96,0,0,0.74,0,0,0,1.11,0,0,0,0.37,0,4.81,0.74,0,0,0,0.37,0,0.74,0,0.37,0,0,0,0.74
3Month,0,2.29,0,0.1,0,0.1,0.21,41.61,2.18,0.62,0,0.94,0.42,0.73,5.51,0.83,3.12,0.1,0.21,0.31,0.31,0,0.42,0.1,0.1,0.83,1.46,1.14,0,0,0.21,0.1,0.73,0.52
22Month,0,0.55,0,0,0,0,0,4.24,6.7,0,0.14,0.41,0.14,0,1.78,0.55,0.14,0,0,0,0,0,0.41,0.14,0.27,0,1.09,2.87,0.14,0,0.14,0.14,0,0.14
