stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,5,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,6,78,1,0,0,3,0,0,0,0,0,0,0
72hpf,0.85,0.56,0,1.41,0,0,0,0.28,0,0,0,0,0,0,0,0,0.85,1.69,0.28,4.79,0.56,0,0,25.37,11.27,0,0,0,3.66,0,0.28,0.56,0.28,0.56,0,0
21Day,2.96,0,0,5.18,0,0.37,0,1.11,0,0.37,0,0,0.37,0.37,2.59,0.37,0,1.11,0.37,4.07,0,1.48,0,7.77,5.92,0,0,0,1.11,1.85,0,0.37,0,0.37,0,0
3Month,0,0,0,1.14,0,0,0.1,0,0.1,0,0.73,0,2.29,0.21,0,0.83,0.31,0.31,0.1,0.73,0,0,0.31,0,0,0.1,0.31,0,0,0,7.39,0,0,0,0.21,0.21
22Month,0,0.14,0.27,0.96,0,0,0,0.14,0,0.14,1.5,0.27,4.51,0.27,0.14,0.41,0.27,0,0.41,0.55,0.27,0.14,0,0,0.27,0.14,0.27,0.27,0,0,0.27,0,0,0,0.14,0
