stage,Epithelial_cell,Immune_cell,Immune_progenitor_cell,Macrophage,Neural_cell,T_cell
21Day,0.37,0,0.74,0,0.37,1.85
3Month,0,0.1,0,0.1,0,0
22Month,0,0.14,0,0,0,0.55
