stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,0,0,0,2,5,35,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,2.54,0.56,0.56,0,0,0,0,0,0.28,0,0,0.28,1.97,2.82,0.56,1.41,0,4.23,0.28,11.27,22.55,9.02,0,0.28,5.36,0,0,0.56,0.28,0,0,0,0
21Day,1.11,0,1.11,5.55,0,3.7,0,0,0,0.37,0,0.37,0.37,0.74,30.71,1.48,3.33,1.11,7.77,0,0,0.74,7.4,5.92,4.44,0.37,0,2.59,2.59,0.37,0.37,0.37,0,0,0,0.74
3Month,0.21,1.14,2.81,41.81,0.1,0,0.83,0.1,7.07,4.47,0,37.97,5.93,0.62,347.83,1.46,2.91,3.85,4.68,1.25,0.21,1.46,228.32,0.83,0.21,2.5,0.21,0.52,3.85,12.07,0.21,0,0.21,1.98,2.18,3.33
22Month,0,1.37,1.64,35.12,0,0,0.41,0.27,7.11,2.87,1.64,25.14,0.41,0.82,357.61,0.14,0.14,1.5,2.6,0.14,1.64,0.68,13.25,0,0,1.5,0.27,0.68,0.27,4.51,0.55,0,0,0.41,0,1.37
