stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0,1.25,0,0.1,0,0.52,0.1,0.21,0.1,0.1,0.1,0,0,0,0,0,0
22Month,0.14,0.96,0.14,0.27,0.14,3.69,0.14,0.14,0,0.55,0.55,0.14,0.14,0,0.14,0.14,0.14
