stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Primordial_germ_cell
24hpf,0,0,0,1,0,0
72hpf,0,0,0,1.69,0,0
21Day,0.37,0,0,1.85,0.74,0
3Month,0.1,0,0.1,0,0,0.1
22Month,0,0.14,0.27,0,0,0
