stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,2,0,0,0,1,1,5,0,66,0,0,0,0,1
72hpf,0.28,0,0,0.85,0.56,0,0.28,0.28,3.1,0,0,0,0,0
21Day,1.11,0,0.37,0.37,0,0.74,1.11,1.11,4.07,0,1.11,0.37,0.37,0
22Month,0.14,1.5,0.41,0,0,0.27,0.27,0,0,0.27,0,2.32,0.14,0
