stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,2.25,0,0
3Month,0.21,0.31,0.1,0.1,0,0.1,0,0.1,0.21
22Month,0.14,0.14,0.14,0,0,0,0,0,0
