stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0.56,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0,0.73,0.21,0.21,0.42,0.21,0.21,0.42,0,0,0,0.1,0.1,2.6,0,6.97
22Month,0,0,0,0,0.82,0.14,0,0,0,0,0.14,0,0,4.78,0.14,0
