stage,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,0,0,1,0
72hpf,0.28,0.56,0,0,0,0.28,3.1,0.28,0
21Day,0,0,0.37,0,0.74,0,1.11,0,0
3Month,0,0,0,0.31,0,0,0,0,0.1
22Month,0,0,0,0.27,0,0,0,0,0
