stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,5,37,1,0,0,0,0,0,0
72hpf,1.13,0.56,1.41,0,0.56,0,0,0,0,0.28,0,1.69,3.66,0,3.95,0,0.85,0.28,16.35,12.97,3.1,0.28,0,0.85,0,0,0
21Day,0.74,0,6.66,0.37,0.74,1.48,0,0,0.37,1.11,0.37,0,2.96,1.11,4.44,0,0,0,4.81,2.59,1.11,0,0,0,0.37,0,0
3Month,0,0,0.62,0,0,0,0.1,0.31,0.31,0,0.1,0,0,0.1,0.31,0.1,0,0,0,0,0,0,0.31,0,0,0.1,0.21
22Month,0,0,0,0,0,0,0.14,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
