stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,10,0,1,0,4,0,0,6,5,8,1,53,0,0,0,0,0,0,0
72hpf,0.28,1.97,1.41,0,0,0,0,0.56,1.97,0,2.82,2.25,5.92,1.97,0,0,0.28,0,0,0
21Day,0.37,1.11,4.07,0.37,0,0,0.37,0,1.11,0,0.37,1.48,3.33,0.37,0,0.37,0.37,0,0,0.37
3Month,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.31,0,0.1,0.42,0.1
22Month,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
