stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,5,0,0,3,27,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.85,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0.28,0.28,0.85,5.92,0,2.25,0,0,15.22,6.48,0.28,0,0,2.54,0,0,0.28,0,0.28,0
21Day,1.11,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,1.11,1.85,0,0.37,0,1.48,0,0,0,0.37,0,0
3Month,0,0,0.1,0.42,0,0,0,0,0.21,0,0,0,0.62,0.1,0,0.42,0,0.21,0.52,0.1,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0
22Month,0,1.37,0.55,1.78,0,0.14,0.14,0.14,0.41,1.91,0.68,0,14.35,0.41,0.14,2.05,0.41,0.55,0.96,2.19,0.68,0.27,0.27,0.14,0.27,0.14,46.32,0.14,0.14,0,0.14,0,0.14,0.55
