stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,7.05,1.69,0,0,0,0,0.56,0.28,0,0,1.13,0,0,0,0,0,0,0,0
21Day,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0.37,0.74,58.09,2.59,0.37,0.37,0,1.11,0.74,0,0,0.37,1.48,0,0,0,0,0,0,0.37
3Month,0.21,0.52,0.62,5.62,0.1,0,0.1,0.1,0.1,0.94,1.66,0,0,6.35,2.5,0.42,4.16,0.73,2.29,344.09,2.08,0.21,0.73,0.73,0.31,0,0.52,0.31,1.66,1.66,2.6,0.21,0,0.21,0.73,1.87,1.66
22Month,0,0.14,0,1.23,0,0,0.27,0.14,0,0,0.96,0.14,0,6.7,0.41,0,0.27,0.14,0,154,0.41,0,0.14,0,0.14,0,0,0.41,0.27,0.27,0.41,0,0.14,0,0,0,0.14
