stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0.56,1.41,0.28,0,0,0,0,0,0,0,0.56,0,0,0,71.59,2.25,0,0,1.69,0,0,0.28,1.97,1.97,0.56,0
21Day,0,0.37,1.48,1.48,1.11,0,0,0,0,0,0,0.37,0.74,0,0.37,0,21.46,1.48,0,0.37,0,0,0,0,1.85,5.18,2.96,0
3Month,0,0.1,1.14,0.1,0,0.1,0.1,0,1.04,0,0.42,0.1,0,0.21,0.21,0.1,0.1,0.1,0.1,0,0,0,1.46,0,0.1,0,0,5.2
22Month,0,0.55,0.41,0.14,0,0.14,1.09,0.14,2.32,0.14,0.27,0,0,0.27,0.41,0.14,0,0,0,0.14,0,0.14,1.23,0.27,0.14,0,0,0
